repo,year,bus50,doc_only_rate,touch_commits
darknet,5,1.0,1.0,10
darknet,6,1.0,1.0,3
darknet,7,1.0,1.0,3
darknet,8,,,0
darknet,9,,,0
darknet,10,,,0
HanLP,1,1.0,0.785714,14
HanLP,2,1.0,0.541667,24
HanLP,3,1.0,0.384615,13
HanLP,4,1.0,0.8,25
HanLP,5,1.0,0.933333,15
HanLP,6,1.0,1.0,17
HanLP,7,1.0,1.0,8
HanLP,8,1.0,1.0,2
HanLP,9,1.0,1.0,2
HanLP,10,,,0
electron,1,7.0,0.925,40
electron,2,6.0,0.875,40
electron,3,3.0,0.866667,15
electron,4,4.0,1.0,9
electron,5,3.0,1.0,12
electron,6,3.0,0.888889,9
electron,7,2.0,0.8,10
electron,8,3.0,1.0,7
electron,9,2.0,0.5,6
electron,10,1.0,1.0,10
openssl,1,2.0,0.882353,17
openssl,2,1.0,0.782609,23
openssl,3,2.0,0.538462,13
openssl,4,2.0,0.636364,11
openssl,5,2.0,0.5,16
openssl,6,2.0,0.8,5
openssl,7,1.0,0.0,1
openssl,8,3.0,0.857143,14
openssl,9,3.0,0.642857,14
openssl,10,3.0,0.7,10
vscode,1,4.0,0.958333,24
vscode,2,5.0,0.888889,18
vscode,3,10.0,1.0,28
vscode,4,3.0,1.0,10
vscode,5,4.0,0.777778,18
vscode,6,4.0,0.9,10
